date,eat,cloth,hotel,transport,edu,shopping
2014/1/1,16062374055,6820577126,11753958399,12115598259,19252600372,20745479217
2014/2/1,13425470479,5096521278,9350855774,12148604023,21452972611,19418754412
2014/3/1,12784568098,5284975079,9862311041,13685343800,19931260135,17107334738
2014/4/1,11979164216,5074049856,10217104623,12759323305,20541146714,20064160343
2014/5/1,13601347601,5228896196,10380725950,13149587005,22304068170,19697036155
2014/6/1,13617232884,5380890207,10870361669,13913346755,22633429090,18539744472
2014/7/1,14535070217,5284127630,12106263808,14235631216,22810372557,18439191634
2014/8/1,15426249928,4825325301,10743122291,13001523647,22969506500,18061255569
2014/9/1,14450059714,5193825178,10795457493,13782773347,25006321304,19513753879
2014/10/1,13263199113,5684029719,10595429083,12924119861,21893213221,28071119162
2014/11/1,12407625134,5572118600,11285696596,11431710397,19070544101,25623600070
2014/12/1,15525989579,7745776811,12360139632,13011346998,21340935602,24378823371
2015/1/1,15100806229,6429915999,11706184537,10918381285,21320967130,19854404013
2015/2/1,16940614638,6567035995,11434889951,9855656214,23329554849,23076797019
2015/3/1,14083216753,5826801222,10730940060,12282680390,23677476129,18688796828
2015/4/1,12975827548,5503785967,10670352032,11283214854,22774200163,20382200810
2015/5/1,14205175060,5562396237,10492126657,11610080502,23623933194,19911872953
2015/6/1,14640936361,5959320238,11559979479,12949466548,24752792139,19151550397
2015/7/1,14343298914,5450509479,11725346415,12578679448,24149339302,18109358346
2015/8/1,17129280848,5097076891,11045682249,11566062640,25082675082,18645668746
2015/9/1,14816241220,5264515387,10010516702,11351177326,24545410050,18869244332
2015/10/1,13866719787,5942528598,10895390774,11489896951,23347873643,27566506074
2015/11/1,14572249077,6174828949,13057861016,11809675493,21956166140,27399090311
2015/12/1,15209958067,7374181223,12576329814,11781134942,21253220154,22656432612
2016/1/1,17088499402,7007824152,13106631623,11019432724,23759391585,21789988198
2016/2/1,16263346444,6141505645,11646858467,9320175084,22917289032,22759440907
2016/3/1,15083430259,5641355154,11109516406,12722706166,24305437613,18608450982
2016/4/1,13468113887,5742958902,10749267297,11117774333,21651464508,20699938043
2016/5/1,16084261135,6384903651,11664823990,12893139076,25030999285,20478506037
2016/6/1,14524303712,5615477758,10867232595,12477942331,23746807274,18300137442
2016/7/1,14909411935,5204832892,11541686372,11978257443,22453927866,18381890103
2016/8/1,18461259817,5597170441,12060705565,13143726599,27432373016,18243206033
2016/9/1,14861328153,4833611317,9987664305,11092020706,23635396974,18251864724
2016/10/1,15126812815,5530169333,11340492630,12440803555,22619892475,25947822487
2016/11/1,14161643102,5996840096,12232492885,12317272211,22022706452,25516245904
